id,round,sample_type,period_or_case,why_sampled,ai_label,confidence,false_positive,needs_review,notes,year,quarter,company,ticker,date,section,speaker,terms,matched_text,concept_group,priority,sentence,prev_sentence,next_sentence,context_window,candidate_id,document_id,event_id,sentence_id,source_csv,xml_path,term_count,match_count
R01-0056,round01,hard_case,weak_or_noisy_terms,weak or generic technology term; likely hard negative,,,,,,2019,2,Criteo SA,CRTO,2019-05-14,presentation,"Douglas Till Anmuth, JP Morgan Chase &amp; Co, Research Division - MD",machine-learning,machine-learning,ai_activity;ai_methods;ai_technology;core_ai;gen_ai,medium,"So Criteo is a global leader in e-commerce marketing, driving growth through machine-learning technology, data, performance at scale and measurable ROI, working with more than 19,000 customers and thousands of publishers around the globe to deliver effective advertising across all channels.","It's a pleasure to have Benoit Fouilland, Chief Financial Officer at Criteo.","Benoit has been CFO, I believe, since 2012.","It's a pleasure to have Benoit Fouilland, Chief Financial Officer at Criteo. [SEP] So Criteo is a global leader in e-commerce marketing, driving growth through machine-learning technology, data, performance at scale and measurable ROI, working with more than 19,000 customers and thousands of publishers around the globe to deliver effective advertising across all channels. [SEP] Benoit has been CFO, I believe, since 2012.",12514134__12514134_presentation_00005,12514134,12514134,12514134_presentation_00005,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2019\transcript_sentences.csv,Data_Conference call transcripts\2019\12514134_T.xml,1,1
R01-0057,round01,random,2023-2024,period-stratified random draw from full Stage 05 candidate pool,,,,,,2023,1,Efecte Oyj,EFECTE.HE,2023-03-01,qa,"Niilo Fredrikson, Efecte Plc - CEO",conversational ai,conversational AI,ai_activity;ai_methods;ai_technology;automation_robotics;core_ai;gen_ai,medium,We added the conversational AI capability on top of our platform through that.,So InteliWISE would be a prime example of that.,The other type of acquisition would be to expand our market presence and/or reach in a particular geography or a particular customer segment or ecosystem.,So InteliWISE would be a prime example of that. [SEP] We added the conversational AI capability on top of our platform through that. [SEP] The other type of acquisition would be to expand our market presence and/or reach in a particular geography or a particular customer segment or ecosystem.,15489311__15489311_qa_00455,15489311,15489311,15489311_qa_00455,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2023\transcript_sentences.csv,Data_Conference call transcripts\2023\15489311_T.xml,1,1
R01-0058,round01,random,2021-2022,period-stratified random draw from full Stage 05 candidate pool,,,,,,2021,4,CGI Inc,GIBa.TO,2021-11-22,qa,"Maher Yaghi, CGI Inc. - Vice-President of IR",machine learning,machine learning,core_ai,high,"I was at a bank, and I love that example you just gave because to just tie it back to what we discussed earlier, truly agile digital value chains are able to not just do the front end, the mobile application or a modification or a little bit of machine learning or move some stuff to the cloud but they are able to quickly days and weeks in the example you gave, pivot and adjust to customer demand and manage very high transactional volumes.","If I may, Tim, I had mentioned a little bit earlier before coming to CGI.","So I just wanted to make that link back for the audience around managing, optimizing and securing those digital value chains end to end.","If I may, Tim, I had mentioned a little bit earlier before coming to CGI. [SEP] I was at a bank, and I love that example you just gave because to just tie it back to what we discussed earlier, truly agile digital value chains are able to not just do the front end, the mobile application or a modification or a little bit of machine learning or move some stuff to the cloud but they are able to quickly days and weeks in the example you gave, pivot and adjust to customer demand and manage very high transactional volumes. [SEP] So I just wanted to make that link back for the audience around managing, optimizing and securing those digital value chains end to end.",14973685__14973685_qa_00716,14973685,14973685,14973685_qa_00716,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2021\transcript_sentences.csv,Data_Conference call transcripts\2021\14973685_T.xml,1,1
R01-0059,round01,random,2021-2022,period-stratified random draw from full Stage 05 candidate pool,,,,,,2022,1,Pfizer Inc,PFE.N,2022-03-01,qa,"Lidia L. Fonseca, Pfizer Inc. - Chief Digital &amp; Technology Officer, Executive VP",ai-enabled,AI-enabled,ai_activity;ai_methods;ai_technology;automation_robotics;core_ai;gen_ai,medium,"We have a robust cybersecurity program that focuses on 3 pillars: world-class prevention capabilities that obstruct tens of millions of daily attempts, AI-enabled detection that identifies potential incidents in minutes, rather than days or months.","So every day, Pfizer fends off attempts to steal our intellectual property, disrupt our supply chain, take our money or compromise personal information.","Round the globe, round-the-clock response capabilities that include the world's leading infinite response firms on retainer.","So every day, Pfizer fends off attempts to steal our intellectual property, disrupt our supply chain, take our money or compromise personal information. [SEP] We have a robust cybersecurity program that focuses on 3 pillars: world-class prevention capabilities that obstruct tens of millions of daily attempts, AI-enabled detection that identifies potential incidents in minutes, rather than days or months. [SEP] Round the globe, round-the-clock response capabilities that include the world's leading infinite response firms on retainer.",15129156__15129156_qa_00237,15129156,15129156,15129156_qa_00237,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2022\transcript_sentences.csv,Data_Conference call transcripts\2022\15129156_T.xml,1,1
R01-0060,round01,random,2021-2022,period-stratified random draw from full Stage 05 candidate pool,,,,,,2022,3,Lantheus Holdings Inc,LNTH.OQ,2022-08-04,presentation,"Mary Anne Heino, Lantheus Holdings, Inc. - CEO, President &amp; Director",AI,AI,core_ai,medium,PYLARIFY AI continues to add real-world evidence and enhance the utility of PYLARIFY in the effective care and management of prostate cancer patients.,"Earlier this year, in the American Urological Association's annual meeting, Dr. Nicholas Nickols presented data on the AI-enabled quantification of disease by PSMA PET and how PYLARIFY AI could serve as an imaging biomarker to predict response to androgen deprivation therapy.",We are pleased to continue to support the U.S. prostate cancer community with PYLARIFY and PYLARIFY AI to find and follow disease.,"Earlier this year, in the American Urological Association's annual meeting, Dr. Nicholas Nickols presented data on the AI-enabled quantification of disease by PSMA PET and how PYLARIFY AI could serve as an imaging biomarker to predict response to androgen deprivation therapy. [SEP] PYLARIFY AI continues to add real-world evidence and enhance the utility of PYLARIFY in the effective care and management of prostate cancer patients. [SEP] We are pleased to continue to support the U.S. prostate cancer community with PYLARIFY and PYLARIFY AI to find and follow disease.",15271581__15271581_presentation_00039,15271581,15271581,15271581_presentation_00039,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2022\transcript_sentences.csv,Data_Conference call transcripts\2022\15271581_T.xml,1,1
R01-0061,round01,random,2001-2015,period-stratified random draw from full Stage 05 candidate pool,,,,,,2014,2,Education Management Corp,EDMC,2014-05-01,qa,"Ed West, Education Management Corporation - President, CEO",AI,AI,core_ai,medium,I don't see that the current balance of the weighting between the degrees levels at AI changing that significantly.,"We want to make sure the programs that we'll be offering in the bachelor's are highly differentiated, have strong outcomes, and focus in good employer demand.","Trace Urdan, Wells Fargo Securities.","We want to make sure the programs that we'll be offering in the bachelor's are highly differentiated, have strong outcomes, and focus in good employer demand. [SEP] I don't see that the current balance of the weighting between the degrees levels at AI changing that significantly. [SEP] Trace Urdan, Wells Fargo Securities.",5347049__5347049_qa_00209,5347049,5347049,5347049_qa_00209,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2014\transcript_sentences.csv,Data_Conference call transcripts\2014\5347049_T.xml,1,1
R01-0062,round01,hard_case,standalone_ai,"standalone ""AI"" without stronger AI phrase; likely ambiguous/noisy",,,,,,2018,2,Pure Storage Inc,PSTG,2018-05-23,qa,"David M. Hatfield, Pure Storage, Inc. - President",AI,AI,core_ai,medium,AI is a very small entity that is using Element AI up in Canada.,"But if you believe what Tony was talking about relative to everyone deploying AI and starting to get it scale once they are moving along in that journey, some of the smallest companies -- PAIGE.","Reasonably small companies, where FlashBlade is a foundation of it.","But if you believe what Tony was talking about relative to everyone deploying AI and starting to get it scale once they are moving along in that journey, some of the smallest companies -- PAIGE. [SEP] AI is a very small entity that is using Element AI up in Canada. [SEP] Reasonably small companies, where FlashBlade is a foundation of it.",11497710__11497710_qa_01682,11497710,11497710,11497710_qa_01682,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2018\transcript_sentences.csv,Data_Conference call transcripts\2018\11497710_T.xml,1,2
R01-0063,round01,random,2001-2015,period-stratified random draw from full Stage 05 candidate pool,,,,,,2006,2,NVIDIA Corp,NVDA,2006-05-11,qa,"Jen-Hsun Huang, NVIDIA Corporation - President &amp; CEO",gpus,GPUs,ai_technology,medium,That is going to increase the market reach of GPUs.,One of the best things that we ever did was working with Microsoft and the folks up in Redmond to talk about the importance of the GPU and helping them understand how it could really transform the computing experience.,SLI increased the TAM of GPUs.,One of the best things that we ever did was working with Microsoft and the folks up in Redmond to talk about the importance of the GPU and helping them understand how it could really transform the computing experience. [SEP] That is going to increase the market reach of GPUs. [SEP] SLI increased the TAM of GPUs.,1305620__1305620_qa_00363,1305620,1305620,1305620_qa_00363,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2006\transcript_sentences.csv,Data_Conference call transcripts\2006\1305620_T.xml,1,1
R01-0064,round01,hard_case,weak_or_noisy_terms,weak or generic technology term; likely hard negative,,,,,,2019,3,Old Mutual Ltd,OMUJ.J,2019-09-02,presentation,"Iain George Williamson, Old Mutual Limited - Acting CEO &amp; Director",robotics,robotics,automation_robotics,medium,"And we've demonstrated just how serious we are by enhancing, for instance, the intermediary experience through our new Quick Quote Calculator, automated pricing and much greater use of robotics.","To date in 2019, our claims division has introduced an improved complaints escalation process across various divisions.","I'd like to thank the business head at ExCo, headed by Garth Napier, who have worked hard to continue to differentiate the business, diversify the book and set us up for future sustainable growth.","To date in 2019, our claims division has introduced an improved complaints escalation process across various divisions. [SEP] And we've demonstrated just how serious we are by enhancing, for instance, the intermediary experience through our new Quick Quote Calculator, automated pricing and much greater use of robotics. [SEP] I'd like to thank the business head at ExCo, headed by Garth Napier, who have worked hard to continue to differentiate the business, diversify the book and set us up for future sustainable growth.",12715289__12715289_presentation_00141,12715289,12715289,12715289_presentation_00141,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2019\transcript_sentences.csv,Data_Conference call transcripts\2019\12715289_T.xml,1,1
R01-0065,round01,likely_ai,2021-2022,strong AI term matched; enrich likely positive examples,,,,,,2022,3,ZoomInfo Technologies Inc,ZI.OQ,2022-09-13,qa,"Henry L. Schuck, ZoomInfo Technologies Inc. - Founder, Chairman of the Board &amp; CEO",machine learning algorithms;machine learning,machine learning algorithms;machine learning,ai_activity;ai_methods;ai_technology;core_ai;core_ai,medium;high,All of the data runs through sort of a middle layer of machine learning algorithms that make sense of when to publish something and when not.,That creates a very large set of raw data that we're able to sort of triangulate and publish where it makes sense.,We can't just take our customer CRM data and then publish it.,That creates a very large set of raw data that we're able to sort of triangulate and publish where it makes sense. [SEP] All of the data runs through sort of a middle layer of machine learning algorithms that make sense of when to publish something and when not. [SEP] We can't just take our customer CRM data and then publish it.,15285932__15285932_qa_00388,15285932,15285932,15285932_qa_00388,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2022\transcript_sentences.csv,Data_Conference call transcripts\2022\15285932_T.xml,2,2
R01-0066,round01,likely_ai,2021-2022,strong AI term matched; enrich likely positive examples,,,,,,2021,1,Zix Corp,ZIXI.OQ,2021-02-25,qa,"David J. Wagner, Zix Corporation - President, CEO &amp; Director",artificial intelligence;machine learning,artificial intelligence;machine learning,core_ai,high,"Ryan brings experience not only in building platforms, but looking carefully at the data sets and artificial intelligence, and how to think carefully about how we take the information that we have uniquely have for our partners and customers and helping to improve the experience with machine learning, artificial intelligence.","He's a tremendous, really big add to leadership team.","So I think as we move forward, you'll start to see more effort to capitalize and ultimately monetize the data assets that we have and can build from.","He's a tremendous, really big add to leadership team. [SEP] Ryan brings experience not only in building platforms, but looking carefully at the data sets and artificial intelligence, and how to think carefully about how we take the information that we have uniquely have for our partners and customers and helping to improve the experience with machine learning, artificial intelligence. [SEP] So I think as we move forward, you'll start to see more effort to capitalize and ultimately monetize the data assets that we have and can build from.",13599339__13599339_qa_00368,13599339,13599339,13599339_qa_00368,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2021\transcript_sentences.csv,Data_Conference call transcripts\2021\13599339_T.xml,2,3
R01-0067,round01,random,2021-2022,period-stratified random draw from full Stage 05 candidate pool,,,,,,2021,2,Pegasystems Inc,PEGA.OQ,2021-06-16,qa,"Kenneth R. Stillwell, Pegasystems Inc. - COO &amp; CFO",robotic process automation,robotic process automation,automation_robotics,medium,Most of the robotic process automation tools that are out there sit on the screen.,"No one else has robotics embedded in the actual workflow, in the application interface.",So they're copying data off from the screen.,"No one else has robotics embedded in the actual workflow, in the application interface. [SEP] Most of the robotic process automation tools that are out there sit on the screen. [SEP] So they're copying data off from the screen.",14835400__14835400_qa_00054,14835400,14835400,14835400_qa_00054,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2021\transcript_sentences.csv,Data_Conference call transcripts\2021\14835400_T.xml,1,1
R01-0068,round01,hard_case,weak_or_noisy_terms,weak or generic technology term; likely hard negative,,,,,,2022,2,TTM Technologies Inc,TTMI.OQ,2022-05-25,presentation,Alex Bilichenko,robotics,robotics,automation_robotics,medium,"The company is a critical supplier of today's fastest-growing technologies such as advanced defense radar, cloud infrastructure, automobile technology, semiconductor capital equipment and robotics.","TTM Technologies is a leading PCB, specialty components and technology solutions provider.","So Tom, can you provide a brief overview of where TTM Technologies is today?","TTM Technologies is a leading PCB, specialty components and technology solutions provider. [SEP] The company is a critical supplier of today's fastest-growing technologies such as advanced defense radar, cloud infrastructure, automobile technology, semiconductor capital equipment and robotics. [SEP] So Tom, can you provide a brief overview of where TTM Technologies is today?",15227586__15227586_presentation_00006,15227586,15227586,15227586_presentation_00006,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2022\transcript_sentences.csv,Data_Conference call transcripts\2022\15227586_T.xml,1,1
R01-0069,round01,random,2016-2020,period-stratified random draw from full Stage 05 candidate pool,,,,,,2017,3,GPT Group,GPT.AX,2017-08-15,presentation,"Robert William Johnston, GPT Group - CEO, MD and Director",gpt's;GPT,GPT's;GPT,gen_ai,medium,"Good morning, everyone, and welcome to GPT's 2017 Interim Results Presentation.",,"I would like to start the proceedings by acknowledging the traditional custodians of the land of Sydney, the Gadigal people of the Eora Nation and pay my respects to elders, past and present, and to any First Nations people who have joined us for the presentation this morning.","Good morning, everyone, and welcome to GPT's 2017 Interim Results Presentation. [SEP] I would like to start the proceedings by acknowledging the traditional custodians of the land of Sydney, the Gadigal people of the Eora Nation and pay my respects to elders, past and present, and to any First Nations people who have joined us for the presentation this morning.",10650305__10650305_presentation_00001,10650305,10650305,10650305_presentation_00001,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2017\transcript_sentences.csv,Data_Conference call transcripts\2017\10650305_T.xml,2,2
R01-0070,round01,random,2023-2024,period-stratified random draw from full Stage 05 candidate pool,,,,,,2024,1,Criteo SA,CRTO.OQ,2024-02-07,presentation,"Megan Clarken, Criteo S.A. - CEO &amp; Director",ai-driven,AI-driven,ai_activity;ai_methods;ai_technology;core_ai;gen_ai,medium,"We also benefited from our AI-driven performance enhancements which drove an uplift in contribution ex-TAC in the high single-digit million range in Q4, a real output of our AI/ML practice at work.",About 70% of our media spend comes from clients that use Commerce Audiences targeting in addition to retargeting.,"Furthermore, we're experiencing solid traction in our partnership with Meta, and we see further opportunities to expand into other social environments, which bring access to first-party identifiers for billions of users.","About 70% of our media spend comes from clients that use Commerce Audiences targeting in addition to retargeting. [SEP] We also benefited from our AI-driven performance enhancements which drove an uplift in contribution ex-TAC in the high single-digit million range in Q4, a real output of our AI/ML practice at work. [SEP] Furthermore, we're experiencing solid traction in our partnership with Meta, and we see further opportunities to expand into other social environments, which bring access to first-party identifiers for billions of users.",15863220__15863220_presentation_00052,15863220,15863220,15863220_presentation_00052,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2024\transcript_sentences.csv,Data_Conference call transcripts\2024\15863220_T.xml,1,1
R01-0071,round01,random,2016-2020,period-stratified random draw from full Stage 05 candidate pool,,,,,,2018,1,Remark Holdings Inc,MARK,2018-03-29,presentation,"Kai-Shing Tao, Remark Holdings, Inc. - Executive Chairman and CEO",artificial intelligence,artificial intelligence,core_ai,high,"We were invited due to the uniqueness of the artificial intelligence platform that we set out the vision to build 3 years ago and continue to not only surpass the technological milestones set ahead of us, but even more importantly, show the ability to monetize quickly.","Yet, why were we invited to present with these companies?",Our algorithms form a very high entry barrier and has allowed us to build ecosystems around our partners.,"Yet, why were we invited to present with these companies? [SEP] We were invited due to the uniqueness of the artificial intelligence platform that we set out the vision to build 3 years ago and continue to not only surpass the technological milestones set ahead of us, but even more importantly, show the ability to monetize quickly. [SEP] Our algorithms form a very high entry barrier and has allowed us to build ecosystems around our partners.",11438832__11438832_presentation_00013,11438832,11438832,11438832_presentation_00013,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2018\transcript_sentences.csv,Data_Conference call transcripts\2018\11438832_T.xml,1,1
R01-0072,round01,hard_case,standalone_ai,"standalone ""AI"" without stronger AI phrase; likely ambiguous/noisy",,,,,,2019,1,Cognizant Technology Solutions Corp,CTSH,2019-02-26,qa,"Gajakarnan Vibushanan Kandiah, Cognizant Technology Solutions Corporation - Executive VP &amp; President of Digital Business",AI,AI,core_ai,medium,"And within that line of service, we have digital strategy, our AI and analytics practice, our interactive practice, our connected products and IoT practice and our digital engineering and software engineering practices.","My business, so I run the digital business organization, so it's 1 of the 3 lines of service.",So those are the 5 practice areas that roll up under digital business.,"My business, so I run the digital business organization, so it's 1 of the 3 lines of service. [SEP] And within that line of service, we have digital strategy, our AI and analytics practice, our interactive practice, our connected products and IoT practice and our digital engineering and software engineering practices. [SEP] So those are the 5 practice areas that roll up under digital business.",12344296__12344296_qa_00021,12344296,12344296,12344296_qa_00021,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2019\transcript_sentences.csv,Data_Conference call transcripts\2019\12344296_T.xml,1,1
R01-0073,round01,random,2021-2022,period-stratified random draw from full Stage 05 candidate pool,,,,,,2021,2,SoftBank Group Corp,9984.T,2021-05-12,presentation,"Masayoshi Son, SoftBank Group Corp. - Founder, Chairman of the Board &amp; CEO",AI,AI,core_ai,medium,"So NVIDIA plus Arm announcing such Arm based GPU so that chip dedicated to AI or chip for computing platform for AI, this will be very essential and also this merger still under process for the regulatory approval in the -- I'm convinced that we'll be able to receive such approval and engineer from NVIDIA and Arm by collaborating each other, they will be the strongest chip dedicated for AI or building great performance of the platform.","It will be the latest edge technology, which was just announced.","So that they then at the same time, continuously will be able to serve for the clients.","It will be the latest edge technology, which was just announced. [SEP] So NVIDIA plus Arm announcing such Arm based GPU so that chip dedicated to AI or chip for computing platform for AI, this will be very essential and also this merger still under process for the regulatory approval in the -- I'm convinced that we'll be able to receive such approval and engineer from NVIDIA and Arm by collaborating each other, they will be the strongest chip dedicated for AI or building great performance of the platform. [SEP] So that they then at the same time, continuously will be able to serve for the clients.",14645358__14645358_presentation_00220,14645358,14645358,14645358_presentation_00220,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2021\transcript_sentences.csv,Data_Conference call transcripts\2021\14645358_T.xml,1,3
R01-0074,round01,likely_ai,2016-2020,strong AI term matched; enrich likely positive examples,,,,,,2017,2,Instructure Inc,INST,2017-05-01,qa,"Joshua L. Coates, Instructure, Inc. - CEO and Director",machine learning,Machine learning,core_ai,high,Machine learning fits in this category.,"And it continues to make progress, but we don't make big bets on the market with regards to sort of speculative, cutting-edge type of technology that we've seen before over and over and over again.",We obviously keep an eye on interesting startups that are doing innovative things with machine learning in the education space.,"And it continues to make progress, but we don't make big bets on the market with regards to sort of speculative, cutting-edge type of technology that we've seen before over and over and over again. [SEP] Machine learning fits in this category. [SEP] We obviously keep an eye on interesting startups that are doing innovative things with machine learning in the education space.",10194123__10194123_qa_00343,10194123,10194123,10194123_qa_00343,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2017\transcript_sentences.csv,Data_Conference call transcripts\2017\10194123_T.xml,1,1
R01-0075,round01,random,2016-2020,period-stratified random draw from full Stage 05 candidate pool,,,,,,2019,4,Onespan Inc,VDSI,2019-12-04,presentation,"Benoit Grange, OneSpan Inc. - CTO",machine learning,machine learning,core_ai,high,"On AI, machine learning, as indicated before, we're testing new model based on the data that we're collecting to improve our scoring capabilities.",The goal for us is to be ready once there is a standard in place.,But we are also conducting research on explainability of machine learning models.,"The goal for us is to be ready once there is a standard in place. [SEP] On AI, machine learning, as indicated before, we're testing new model based on the data that we're collecting to improve our scoring capabilities. [SEP] But we are also conducting research on explainability of machine learning models.",12933073__12933073_presentation_01252,12933073,12933073,12933073_presentation_01252,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2019\transcript_sentences.csv,Data_Conference call transcripts\2019\12933073_T.xml,1,1
R01-0076,round01,random,2016-2020,period-stratified random draw from full Stage 05 candidate pool,,,,,,2017,4,Alphabet Inc,GOOGL,2017-10-26,presentation,"Ruth Porat, Alphabet Inc. - CFO and SVP",machine learning,machine learning,core_ai,high,"Third, as to CapEx, we continue to invest to support business momentum, including increased compute power from machine learning, which is an asset across Alphabet, as well as to support cloud, search and YouTube growth.","In addition, we are investing to support YouTube and our other platforms.","In conclusion, a great quarter.","In addition, we are investing to support YouTube and our other platforms. [SEP] Third, as to CapEx, we continue to invest to support business momentum, including increased compute power from machine learning, which is an asset across Alphabet, as well as to support cloud, search and YouTube growth. [SEP] In conclusion, a great quarter.",10972576__10972576_presentation_00104,10972576,10972576,10972576_presentation_00104,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2017\transcript_sentences.csv,Data_Conference call transcripts\2017\10972576_T.xml,1,1
R01-0077,round01,random,2016-2020,period-stratified random draw from full Stage 05 candidate pool,,,,,,2020,1,NuVasive Inc,NUVA,2020-02-20,qa,"Matthew W. Link, NuVasive, Inc. - President",robotics,Robotics,automation_robotics,medium,And so that's really all the guidance we have provided on the Robotics platform beyond the unveiling last fall.,We never really provided a more detailed time line around Pulse Robotics than targeting first-in-man in the back half of 2020.,Okay.,We never really provided a more detailed time line around Pulse Robotics than targeting first-in-man in the back half of 2020. [SEP] And so that's really all the guidance we have provided on the Robotics platform beyond the unveiling last fall. [SEP] Okay.,13020417__13020417_qa_00259,13020417,13020417,13020417_qa_00259,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2020\transcript_sentences.csv,Data_Conference call transcripts\2020\13020417_T.xml,1,1
R01-0078,round01,likely_ai,2016-2020,strong AI term matched; enrich likely positive examples,,,,,,2020,4,Telefonaktiebolaget LM Ericsson,ERICb.ST,2020-11-10,qa,"Peter Laurin, Telefonaktiebolaget LM Ericsson (publ) - Senior VP, Head of Business Area Managed Services &amp; Head of Segment Managed Services",machine learning,machine learning,core_ai,high,And this is using AI and machine learning to then enhance your networks.,"And on the software packs, today, we have launched in network design and optimization the software packs.","And already now, we see great traction here, and we have some SEK 300 million contracted only in 2020.","And on the software packs, today, we have launched in network design and optimization the software packs. [SEP] And this is using AI and machine learning to then enhance your networks. [SEP] And already now, we see great traction here, and we have some SEK 300 million contracted only in 2020.",13078409__13078409_qa_01697,13078409,13078409,13078409_qa_01697,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2020\transcript_sentences.csv,Data_Conference call transcripts\2020\13078409_T.xml,1,1
R01-0079,round01,likely_ai,2021-2022,strong AI term matched; enrich likely positive examples,,,,,,2021,3,Appen Ltd,APX.AX,2021-08-26,qa,"Mark Ronald Gerard Brayan, Appen Limited - MD, CEO &amp; Executive Director",AI models,AI models,ai_technology,medium,"Having said that, search algorithms, for example, that could also rely on location-based data use AI models.","They are different sort of algorithms, but they also require vast amounts of data.",So it's a bit of both.,"They are different sort of algorithms, but they also require vast amounts of data. [SEP] Having said that, search algorithms, for example, that could also rely on location-based data use AI models. [SEP] So it's a bit of both.",14919558__14919558_qa_00494,14919558,14919558,14919558_qa_00494,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2021\transcript_sentences.csv,Data_Conference call transcripts\2021\14919558_T.xml,1,1
R01-0080,round01,likely_ai,2021-2022,strong AI term matched; enrich likely positive examples,,,,,,2021,3,Angi Inc,ANGI.OQ,2021-08-10,qa,"Oisin Hanrahan, Angi Inc. - CEO &amp; Director",machine learning,machine learning,core_ai,high,"And I think that's the harder part to shift than the actual application of machine learning, if that makes sense.",And are we going to be data led in that?,Let's talk about the kind of the rebrand.,"And are we going to be data led in that? [SEP] And I think that's the harder part to shift than the actual application of machine learning, if that makes sense. [SEP] Let's talk about the kind of the rebrand.",14942945__14942945_qa_00294,14942945,14942945,14942945_qa_00294,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2021\transcript_sentences.csv,Data_Conference call transcripts\2021\14942945_T.xml,1,1
R01-0081,round01,likely_ai,2021-2022,strong AI term matched; enrich likely positive examples,,,,,,2021,1,Workday Inc,WDAY.OQ,2021-02-25,qa,"Aneel Bhusri, Workday, Inc. - Co-Founder, Co-CEO &amp; Director",machine learning,machine learning,core_ai,high,They countered on that machine learning to drive them to better insights.,"In terms of -- the other thing I'd add is, they were a very cool machine learning-first application.",And that's the way that we want to go as well.,"In terms of -- the other thing I'd add is, they were a very cool machine learning-first application. [SEP] They countered on that machine learning to drive them to better insights. [SEP] And that's the way that we want to go as well.",13616600__13616600_qa_00307,13616600,13616600,13616600_qa_00307,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2021\transcript_sentences.csv,Data_Conference call transcripts\2021\13616600_T.xml,1,1
R01-0082,round01,random,2023-2024,period-stratified random draw from full Stage 05 candidate pool,,,,,,2024,1,NVIDIA Corp,NVDA.OQ,2024-01-30,presentation,Kristopher Keith,ai-generated,AI-generated,ai_technology,medium,Is this a well-written e-mail from HR or an AI-generated spear phishing e-mail?,"For how many of us at this time of year are getting e-mail saying, ""Click here to download your W-2,"" but are we all trained not to click on links?",It's just getting harder and harder to tell.,"For how many of us at this time of year are getting e-mail saying, ""Click here to download your W-2,"" but are we all trained not to click on links? [SEP] Is this a well-written e-mail from HR or an AI-generated spear phishing e-mail? [SEP] It's just getting harder and harder to tell.",15867990__15867990_presentation_00139,15867990,15867990,15867990_presentation_00139,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2024\transcript_sentences.csv,Data_Conference call transcripts\2024\15867990_T.xml,1,1
R01-0083,round01,likely_ai,2001-2015,strong AI term matched; enrich likely positive examples,,,,,,2007,2,Brookfield Property Reit Inc,GGP,2007-05-01,presentation,"Bernie Freibaum, General Growth Properties, Inc. - EVP, CFO",artificial intelligence,artificial intelligence,core_ai,high,"So we've always said that because it's not a same-store number and we're not able to calculate it on a same-store basis, it would take an artificial intelligence program that the Defense Department would have to write and cost a lot more than it's worth, so it's just an indicator.","They will represent 2008 deals to some extent, especially as we get later in the year.",And the same thing in a different way applies to the second part of your question.,"They will represent 2008 deals to some extent, especially as we get later in the year. [SEP] So we've always said that because it's not a same-store number and we're not able to calculate it on a same-store basis, it would take an artificial intelligence program that the Defense Department would have to write and cost a lot more than it's worth, so it's just an indicator. [SEP] And the same thing in a different way applies to the second part of your question.",1534966__1534966_presentation_00331,1534966,1534966,1534966_presentation_00331,D:\科研\Firm Level AI Exposure\codes\stage01_xml_standardization\outputs\by_year\2007\transcript_sentences.csv,Data_Conference call transcripts\2007\1534966_T.xml,1,1
