"candidate_term","candidate_token","neighbor_count","seed_count","seed_terms","concept_groups","query_statuses","best_rank","max_similarity","mean_similarity","review_decision","include_v2","review_notes","review_priority","suggested_review_group","auto_screen_confidence","auto_screen_reason"
"low-code no-code","low-code_no-code","374","2","AI solutions;robotic process automation","ai_activity;automation_robotics","exact_key","37","0.651409","0.649314","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"nvidia-accelerated","nvidia-accelerated","13","2","AI adoption;AI solutions","ai_activity","exact_key","15","0.650886","0.619144","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"robotization","robotization","436","2","robotic process automation;robotics","automation_robotics","exact_key","23","0.646179","0.635613","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"auto-tagging","auto-tagging","6","2","NLP;image recognition","ai_methods","exact_key","35","0.643734","0.626527","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"bots et cetera","bots_et_cetera","14","2","NLP;robotic process automation","ai_methods;automation_robotics","exact_key","24","0.639742","0.630801","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"mchat","mchat","35","2","AI tool;GPT-4","ai_technology;gen_ai","exact_key","35","0.638673","0.633474","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"dql","dql","10","2","AI tool;GPT-4","ai_technology;gen_ai","exact_key","49","0.626181","0.625520","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"mynav","mynav","5","2","AI implementation;AI investments","ai_activity","exact_key","21","0.603361","0.575905","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"data-tech","data-tech","13","2","AI investment;AI investments","ai_activity","exact_key","14","0.549469","0.523781","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"zack fadem wells fargo","zack_fadem_wells_fargo","12","1","AI exposure","ai_exposure","exact_key","11","0.699346","0.699346","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"cpus","cpus","3529","1","AI applications","ai_technology","exact_key","25","0.699252","0.699252","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"lena thakkar hsbc","lena_thakkar_hsbc","30","1","AI exposure","ai_exposure","exact_key","12","0.698979","0.698979","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"denoise","denoise","8","1","supervised learning","ai_methods","exact_key","30","0.698811","0.698811","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"stefan schurmann bank vontobel","stefan_schurmann_bank_vontobel","14","1","AI exposure","ai_exposure","exact_key","13","0.697975","0.697975","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"multi-folded","multi-folded","5","1","AI exposure","ai_exposure","exact_key","14","0.697916","0.697916","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"camera-based","camera-based","267","1","computer vision","ai_methods","exact_key","28","0.697811","0.697811","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"appspace","appspace","5","1","AI exposure","ai_exposure","exact_key","16","0.696879","0.696879","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"omni-path's","omni-path's","5","1","AI exposure","ai_exposure","exact_key","17","0.696755","0.696755","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"jagadish iyer summit redstone","jagadish_iyer_summit_redstone","12","1","AI exposure","ai_exposure","exact_key","18","0.696676","0.696676","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"gary nachman goldman sachs","gary_nachman_goldman_sachs","60","1","AI exposure","ai_exposure","exact_key","20","0.695814","0.695814","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"ehud gelblum citigroup","ehud_gelblum_citigroup","29","1","AI exposure","ai_exposure","exact_key","21","0.695502","0.695502","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"lensai","lensai","22","1","artificial intelligence technologies","core_ai","exact_key","16","0.695426","0.695426","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"kennedy d-r","kennedy_d-r","31","1","AI exposure","ai_exposure","exact_key","22","0.695241","0.695241","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"stephane foucaud gmp firstenergy","stephane_foucaud_gmp_firstenergy","13","1","AI exposure","ai_exposure","exact_key","23","0.694963","0.694963","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"mario saric scotiabank","mario_saric_scotiabank","73","1","AI exposure","ai_exposure","exact_key","24","0.694690","0.694690","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"guillermo peigneux ubs","guillermo_peigneux_ubs","96","1","AI exposure","ai_exposure","exact_key","25","0.694370","0.694370","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"mist-ified","mist-ified","7","1","AI exposure","ai_exposure","exact_key","26","0.693543","0.693543","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"sd-wan-only","sd-wan-only","5","1","AI exposure","ai_exposure","exact_key","27","0.693019","0.693019","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"gostomski","gostomski","8","1","AI exposure","ai_exposure","exact_key","28","0.692624","0.692624","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"zuzanna pusz berenberg","zuzanna_pusz_berenberg","11","1","AI exposure","ai_exposure","exact_key","29","0.692485","0.692485","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"kobori speaking","kobori_speaking","32","1","AI exposure","ai_exposure","exact_key","30","0.692469","0.692469","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"jupyter notebooks","jupyter_notebooks","25","1","AI skills","ai_workforce","exact_key","12","0.689600","0.689600","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"repetitive tasks","repetitive_tasks","359","1","robotic process automation","automation_robotics","exact_key","16","0.688385","0.688385","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"pedagogies","pedagogies","16","1","AI skills","ai_workforce","exact_key","13","0.688347","0.688347","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"aiware's","aiware's","16","1","artificial intelligence technologies","core_ai","exact_key","20","0.687890","0.687890","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"neuronets","neuronets","6","1","AI skills","ai_workforce","exact_key","15","0.686932","0.686932","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"mlops","mlops","95","1","AI skills","ai_workforce","exact_key","18","0.684716","0.684716","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"sparview","sparview","6","1","AI skills","ai_workforce","exact_key","20","0.682743","0.682743","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"roboticists","roboticists","12","1","AI skills","ai_workforce","exact_key","22","0.680414","0.680414","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"alphafold","alphafold","98","1","GPT-3","gen_ai","exact_key","25","0.679882","0.679882","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"mywizard","mywizard","28","1","robotic process automation","automation_robotics","exact_key","21","0.677237","0.677237","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"industry-ready","industry-ready","20","1","AI skills","ai_workforce","exact_key","28","0.675975","0.675975","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"cross-skill","cross-skill","19","1","AI skills","ai_workforce","exact_key","30","0.673350","0.673350","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"tensorflow","tensorflow","342","1","neural network","core_ai","exact_key","28","0.672941","0.672941","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"pretrain","pretrain","12","1","AI model","ai_technology","exact_key","30","0.672725","0.672725","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"rpa bots","rpa_bots","49","1","robotic process automation","automation_robotics","exact_key","23","0.672682","0.672682","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"self-learning","self-learning","337","1","reinforcement learning","ai_methods","exact_key","23","0.669642","0.669642","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"microbots","microbots","18","1","robotic process automation","automation_robotics","exact_key","26","0.669127","0.669127","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"micro-expression","micro-expression","12","1","image recognition","ai_methods","exact_key","25","0.668769","0.668769","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"alphazero","alphazero","6","1","AI analyst","ai_applications","exact_key","11","0.667501","0.667501","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"oversharing","oversharing","21","1","AI analyst","ai_applications","exact_key","12","0.665862","0.665862","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"post-exploitation","post-exploitation","11","1","AI analyst","ai_applications","exact_key","13","0.665683","0.665683","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"cobots","cobots","364","1","robotics","automation_robotics","exact_key","12","0.665443","0.665443","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"turla","turla","15","1","AI analyst","ai_applications","exact_key","14","0.664719","0.664719","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"dnabert","dnabert","7","1","AI analyst","ai_applications","exact_key","15","0.664382","0.664382","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"watsonx orchestrate","watsonx_orchestrate","11","1","robotic process automation","automation_robotics","exact_key","29","0.663598","0.663598","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"fin7","fin7","10","1","AI analyst","ai_applications","exact_key","16","0.661380","0.661380","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"minimally invasive surgery","minimally_invasive_surgery","1272","1","robotics","automation_robotics","exact_key","13","0.659592","0.659592","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"ml-enabled","ml-enabled","10","1","AI integration","ai_activity","exact_key","15","0.659358","0.659358","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"appway","appway","5","1","AI analyst","ai_applications","exact_key","17","0.659284","0.659284","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"google's tensorflow","google's_tensorflow","18","1","AI integration","ai_activity","exact_key","19","0.658198","0.658198","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"honeypots","honeypots","13","1","AI analyst","ai_applications","exact_key","19","0.656391","0.656391","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"ui-driven","ui-driven","6","1","AI analyst","ai_applications","exact_key","20","0.655602","0.655602","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"zero-day vulnerabilities","zero-day_vulnerabilities","16","1","AI analyst","ai_applications","exact_key","21","0.655414","0.655414","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"drive360","drive360","7","1","AI integration","ai_activity","exact_key","27","0.654869","0.654869","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"forensicators","forensicators","5","1","AI analyst","ai_applications","exact_key","22","0.653475","0.653475","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"obediently","obediently","5","1","AI analyst","ai_applications","exact_key","23","0.653299","0.653299","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"semicolons","semicolons","6","1","AI analyst","ai_applications","exact_key","24","0.653214","0.653214","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"infra8","infra8","6","1","AI analyst","ai_applications","exact_key","25","0.652450","0.652450","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"gosu","gosu","5","1","AI analyst","ai_applications","exact_key","26","0.652011","0.652011","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"fin12","fin12","6","1","AI analyst","ai_applications","exact_key","27","0.651844","0.651844","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"overexaggerating","overexaggerating","7","1","AI analyst","ai_applications","exact_key","28","0.650944","0.650944","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"trucontext","trucontext","6","1","AI analyst","ai_applications","exact_key","29","0.649673","0.649673","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"phishes","phishes","7","1","AI analyst","ai_applications","exact_key","30","0.649326","0.649326","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"quantopian","quantopian","6","1","AI tool","ai_technology","exact_key","15","0.647539","0.647539","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"halodi robotics","halodi_robotics","16","1","robotics","automation_robotics","exact_key","16","0.645563","0.645563","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"vision-guided","vision-guided","19","1","robotics","automation_robotics","exact_key","18","0.641467","0.641467","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"end-of-arm tooling","end-of-arm_tooling","35","1","robotics","automation_robotics","exact_key","20","0.635852","0.635852","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"ct-free","ct-free","13","1","robotics","automation_robotics","exact_key","22","0.627534","0.627534","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"nlq","nlq","6","1","NLP","ai_methods","exact_key","19","0.625436","0.625436","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"motion-controlled","motion-controlled","11","1","robotics","automation_robotics","exact_key","24","0.624001","0.624001","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"robotic-enabled","robotic-enabled","6","1","robotics","automation_robotics","exact_key","26","0.622950","0.622950","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"dfvision","dfvision","7","1","robotics","automation_robotics","exact_key","28","0.622276","0.622276","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"subrata karmakar","subrata_karmakar","16","1","robotics","automation_robotics","exact_key","29","0.620138","0.620138","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"vecna","vecna","7","1","robotics","automation_robotics","exact_key","30","0.620071","0.620071","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"visotech's","visotech's","7","1","NLP","ai_methods","exact_key","26","0.620001","0.620001","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"ai-centric","ai-centric","76","1","AI adoption","ai_activity","exact_key","13","0.588622","0.588622","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"ai-oriented","ai-oriented","32","1","AI adoption","ai_activity","exact_key","14","0.588322","0.588322","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"aigc-related","aigc-related","10","1","AI adoption","ai_activity","exact_key","24","0.581563","0.581563","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"generative ai-related","generative_ai-related","25","1","AI adoption","ai_activity","exact_key","29","0.576981","0.576981","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"ai-native","ai-native","39","1","AI adoption","ai_activity","exact_key","48","0.562393","0.562393","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"ai-like","ai-like","14","1","AI investments","ai_activity","exact_key","25","0.542131","0.542131","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"gpt's","gpt's","227","1","GPT","gen_ai","exact_key","26","0.541121","0.541121","accept","1","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=accept_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"non-ai","non-ai","112","1","AI investments","ai_activity","exact_key","30","0.534719","0.534719","reject","0","auto_screen_confidence=low; auto_screen_reason=manual_review_needed | manual_review=reject_user_list","4","maybe_4_low_priority_manual_review","low","manual_review_needed"
"gen ai","gen_ai","2739","26","AI adoption;AI application;AI applications;AI capabilities;AI investment;AI investments;AI models;AI skills;AI solutions;AI technologies;AI technology;AI tools;ChatGPT;GPT-4;Generative AI;Generative AI technologies;Generative AI technology;Generative AI tools;LLM;LLMs;NLP;artificial intelligence;generative artificial intelligence;large language model;large language models;robotic process automation","ai_activity;ai_methods;ai_technology;ai_workforce;automation_robotics;core_ai;gen_ai","exact_key","1","0.938148","0.711501","accept","1","auto_screen_confidence=high; auto_screen_reason=explicit_ai_signal_with_word2vec_support","5","accepted_explicit_ai_signal","high","explicit_ai_signal_with_word2vec_support"
"ai ml","ai_ml","1542","25","AI application;AI applications;AI capabilities;AI investments;AI models;AI solutions;AI technologies;AI technology;AI tools;Generative AI;Generative AI technologies;LLM;LLMs;NLP;artificial intelligence;artificial intelligence technologies;computer vision;deep learning;generative artificial intelligence;large language model;large language models;machine learning;natural language processing;neural networks;robotic process automation","ai_activity;ai_methods;ai_technology;automation_robotics;core_ai;gen_ai","exact_key","4","0.839201","0.722629","accept","1","auto_screen_confidence=high; auto_screen_reason=explicit_ai_signal_with_word2vec_support","5","accepted_explicit_ai_signal","high","explicit_ai_signal_with_word2vec_support"
"genai","genai","1624","23","AI adoption;AI application;AI capabilities;AI investment;AI investments;AI models;AI solutions;AI technologies;AI tools;ChatGPT;GPT-3;GPT-4;Generative AI;Generative AI models;Generative AI technologies;Generative AI technology;Generative AI tools;LLM;LLMs;generative artificial intelligence;large language model;large language models;robotic process automation","ai_activity;ai_technology;automation_robotics;gen_ai","exact_key","3","0.906906","0.697901","accept","1","auto_screen_confidence=high; auto_screen_reason=explicit_ai_signal_with_word2vec_support","5","accepted_explicit_ai_signal","high","explicit_ai_signal_with_word2vec_support"
"recommender systems","recommender_systems","140","21","AI applications;AI investment;AI investments;AI model;AI models;AI technologies;ChatGPT;GPT-3;Generative AI;Generative AI models;LLMs;NLP;artificial intelligence;deep learning;generative artificial intelligence;image recognition;large language model;large language models;natural language processing;neural networks;reinforcement learning","ai_activity;ai_methods;ai_technology;core_ai;gen_ai","exact_key","12","0.778512","0.681469","accept","1","auto_screen_confidence=high; auto_screen_reason=explicit_ai_signal_with_word2vec_support","5","accepted_explicit_ai_signal","high","explicit_ai_signal_with_word2vec_support"
"ai-based","ai-based","2295","20","AI application;AI capabilities;AI integration;AI model;AI solutions;AI technologies;AI technology;AI tool;AI tools;NLP;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;computer vision;deep learning;generative artificial intelligence;image recognition;machine learning;natural language processing;reinforcement learning","ai_activity;ai_methods;ai_technology;core_ai;gen_ai","exact_key","4","0.822826","0.720094","accept","1","auto_screen_confidence=high; auto_screen_reason=explicit_ai_signal_with_word2vec_support","5","accepted_explicit_ai_signal","high","explicit_ai_signal_with_word2vec_support"
"artificial intelligence machine learning","artificial_intelligence_machine_learning","767","19","AI applications;AI capabilities;AI solutions;AI technologies;AI technology;AI tools;Generative AI;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;computer vision;deep learning;generative artificial intelligence;image recognition;large language models;machine learning;natural language processing;robotic process automation;robotics","ai_activity;ai_methods;ai_technology;automation_robotics;core_ai;gen_ai","exact_key","2","0.902828","0.733897","accept","1","auto_screen_confidence=high; auto_screen_reason=explicit_ai_signal_with_word2vec_support","5","accepted_explicit_ai_signal","high","explicit_ai_signal_with_word2vec_support"
"machine-learning","machine-learning","498","19","AI capabilities;AI model;AI models;AI solutions;AI technologies;AI technology;NLP;artificial intelligence;artificial intelligence technologies;artificial intelligence technology;computer vision;deep learning;image recognition;large language model;machine learning;natural language processing;neural network;neural networks;reinforcement learning","ai_activity;ai_methods;ai_technology;core_ai;gen_ai","exact_key","2","0.866224","0.721781","accept","1","auto_screen_confidence=high; auto_screen_reason=explicit_ai_signal_with_word2vec_support","5","accepted_explicit_ai_signal","high","explicit_ai_signal_with_word2vec_support"
"large-language models","large-language_models","15","19","AI model;AI models;AI skills;AI tool;AI tools;ChatGPT;GPT-3;Generative AI models;Generative AI technologies;Generative AI technology;Generative AI tools;LLM;LLMs;generative artificial intelligence;large language model;large language models;neural networks;reinforcement learning;supervised learning","ai_methods;ai_technology;ai_workforce;core_ai;gen_ai","exact_key","6","0.755986","0.687483","accept","1","auto_screen_confidence=high; auto_screen_reason=explicit_ai_signal_with_word2vec_support","5","accepted_explicit_ai_signal","high","explicit_ai_signal_with_word2vec_support"
