candidate_term,candidate_token,neighbor_count,seed_count,seed_terms,concept_groups,query_statuses,best_rank,max_similarity,mean_similarity,review_decision,include_v2,review_notes
multi-llm,multi-llm,5,2,AI implementation;Artificial intelligence adoption,ai_activity,exact_key,13,0.734360,0.675452,,,
insights-as-a-service,insights-as-a-service,5,2,Artificial intelligence adoption;artificial intelligence technologies,ai_activity;core_ai,exact_key,29,0.731204,0.704449,,,
automation,automation,163265,2,robotic process automation;robotics,automation_robotics,exact_key,5,0.730273,0.729304,,,
statistics-based,statistics-based,10,2,machine learning;reinforcement learning,ai_methods;core_ai,exact_key,35,0.728375,0.691627,,,
object classification,object_classification,74,2,computer vision;image recognition,ai_methods,exact_key,17,0.727845,0.703376,,,
intelligent,intelligent,39632,2,artificial intelligence;robotics,automation_robotics;core_ai,exact_key,34,0.727632,0.670550,,,
optical character,optical_character,215,2,image recognition;natural language processing,ai_methods,exact_key,9,0.724146,0.712058,,,
predictive modeling,predictive_modeling,1688,2,automated underwriting;machine learning,ai_applications;core_ai,exact_key,11,0.721915,0.654133,,,
speech-to-text,speech-to-text,101,2,NLP;natural language processing,ai_methods,exact_key,20,0.720959,0.672882,,,
chatgpt's,chatgpt's,26,2,ChatGPT;GPT-4,gen_ai,exact_key,18,0.718559,0.677743,,,
scikit-learn,scikit-learn,11,2,deep learning;supervised learning,ai_methods;core_ai,exact_key,21,0.717532,0.711293,,,
anomaly detection,anomaly_detection,405,2,image recognition;machine learning,ai_methods;core_ai,exact_key,16,0.714861,0.705891,,,
tensor cores,tensor_cores,60,2,deep learning;neural network,core_ai,exact_key,36,0.714129,0.691006,,,
cuda,cuda,1348,2,deep learning;neural network,core_ai,exact_key,26,0.711760,0.694214,,,
kogpt,kogpt,12,2,LLM;large language model,gen_ai,exact_key,25,0.710207,0.696195,,,
artificial intelligence-powered,artificial_intelligence-powered,50,2,AI integration;artificial intelligence technology,ai_activity;core_ai,exact_key,10,0.708678,0.688118,,,
openais,openais,6,2,GPT-3;Generative AI models,gen_ai,exact_key,25,0.708192,0.686767,,,
bots,bots,3412,2,AI tools;robotic process automation,ai_technology;automation_robotics,exact_key,10,0.707851,0.692631,,,
artificial intelligence robotics,artificial_intelligence_robotics,68,2,artificial intelligence;robotics,automation_robotics;core_ai,exact_key,43,0.706863,0.651487,,,
summarizations,summarizations,11,2,reinforcement learning;supervised learning,ai_methods,exact_key,13,0.702305,0.695162,,,
cublas,cublas,6,2,neural network;neural networks,core_ai,exact_key,32,0.702216,0.680737,,,
data-intensive applications,data-intensive_applications,102,2,AI adoption;AI applications,ai_activity;ai_technology,exact_key,16,0.701187,0.643601,,,
chat bots,chat_bots,318,2,natural language processing;robotic process automation,ai_methods;automation_robotics,exact_key,11,0.700791,0.690338,,,
self-driving cars,self-driving_cars,878,2,computer vision;robotics,ai_methods;automation_robotics,exact_key,25,0.697138,0.660567,,,
voice-to-text,voice-to-text,65,2,image recognition;natural language processing,ai_methods,exact_key,23,0.694200,0.686172,,,
clova's,clova's,10,2,AI technology;NLP,ai_methods;ai_technology,exact_key,42,0.693262,0.645946,,,
artificial intelligence-driven,artificial_intelligence-driven,101,2,AI integration;artificial intelligence technology,ai_activity;core_ai,exact_key,15,0.692044,0.667657,,,
convolution,convolution,82,2,neural network;neural networks,core_ai,exact_key,20,0.691764,0.686923,,,
recommendator,recommendator,11,2,neural networks;supervised learning,ai_methods;core_ai,exact_key,38,0.691676,0.690854,,,
computer-vision,computer-vision,8,2,AI integration;computer vision,ai_activity;ai_methods,exact_key,24,0.690333,0.673332,,,
codewhisperer,codewhisperer,16,2,ChatGPT;GPT-3,gen_ai,exact_key,17,0.689507,0.688043,,,
edge computing,edge_computing,2719,2,AI adoption;AI applications,ai_activity;ai_technology,exact_key,26,0.687951,0.633298,,,
instinct accelerators,instinct_accelerators,12,2,AI adoption;AI applications,ai_activity;ai_technology,exact_key,28,0.686156,0.631752,,,
workflows,workflows,19859,2,AI capabilities;AI tools,ai_activity;ai_technology,exact_key,40,0.685980,0.682111,,,
data-intensive workloads,data-intensive_workloads,73,2,AI adoption;AI applications,ai_activity;ai_technology,exact_key,20,0.685443,0.634238,,,
embeddings,embeddings,42,2,AI model;supervised learning,ai_methods;ai_technology,exact_key,32,0.684946,0.678275,,,
on-device ai,on-device_ai,93,2,AI application;AI applications,ai_technology,exact_key,24,0.684925,0.671203,,,
in-memory compute,in-memory_compute,26,2,AI adoption;AI applications,ai_activity;ai_technology,exact_key,19,0.684545,0.634095,,,
fp8,fp8,8,2,neural network;neural networks,core_ai,exact_key,31,0.683537,0.677038,,,
hyper-automation,hyper-automation,33,2,AI investments;robotic process automation,ai_activity;automation_robotics,exact_key,18,0.682747,0.603979,,,
devsec,devsec,6,2,AI implementation;AI skills,ai_activity;ai_workforce,exact_key,21,0.682413,0.644967,,,
ai-infused,ai-infused,62,2,AI skills;AI solutions,ai_activity;ai_workforce,exact_key,27,0.680556,0.678849,,,
ilabs,ilabs,21,2,AI integration;AI skills,ai_activity;ai_workforce,exact_key,25,0.679124,0.666039,,,
gpt-2,gpt-2,5,2,GPT-3;GPT-4,gen_ai,exact_key,26,0.677582,0.652923,,,
claire copilot,claire_copilot,23,2,Generative AI technologies;Generative AI technology,gen_ai,exact_key,42,0.677215,0.660644,,,
h100 gpus,h100_gpus,10,2,AI application;AI investments,ai_activity;ai_technology,exact_key,13,0.675104,0.599536,,,
ai-optimized,ai-optimized,40,2,AI applications;AI investments,ai_activity;ai_technology,exact_key,15,0.672745,0.615621,,,
arbguard,arbguard,19,2,AI integration;AI tool,ai_activity;ai_technology,exact_key,7,0.671153,0.654356,,,
deep-learned,deep-learned,6,2,artificial intelligence technologies;artificial intelligence technology,core_ai,exact_key,37,0.669885,0.665182,,,
piece-picking,piece-picking,6,2,artificial intelligence technology;robotics,automation_robotics;core_ai,exact_key,10,0.669587,0.663868,,,
stm32cube,stm32cube,15,2,AI application;AI integration,ai_activity;ai_technology,exact_key,17,0.669093,0.659773,,,
ai-guided,ai-guided,24,2,AI integration;AI tool,ai_activity;ai_technology,exact_key,7,0.668257,0.662150,,,
deepui,deepui,7,2,AI integration;AI skills,ai_activity;ai_workforce,exact_key,40,0.665769,0.656434,,,
straight-through processing,straight-through_processing,1172,2,automated underwriting;robotic process automation,ai_applications;automation_robotics,exact_key,2,0.663854,0.657153,,,
hyperautomation,hyperautomation,119,2,AI implementation;robotic process automation,ai_activity;automation_robotics,exact_key,11,0.663559,0.640553,,,
ml-driven,ml-driven,28,2,AI integration;artificial intelligence technologies,ai_activity;core_ai,exact_key,41,0.663352,0.652291,,,
ibm's watson,ibm's_watson,44,2,AI tool;artificial intelligence technology,ai_technology;core_ai,exact_key,16,0.662400,0.654740,,,
ml-powered,ml-powered,24,2,AI integration;artificial intelligence technology,ai_activity;core_ai,exact_key,33,0.661184,0.655504,,,
ai-enriched,ai-enriched,9,2,AI implementation;AI integration,ai_activity,exact_key,12,0.661151,0.626678,,,
wipro holmes,wipro_holmes,32,2,artificial intelligence technologies;robotic process automation,automation_robotics;core_ai,exact_key,44,0.660925,0.651138,,,
kaldi,kaldi,8,2,image recognition;neural network,ai_methods;core_ai,exact_key,32,0.660405,0.657202,,,
metaverse-related,metaverse-related,12,2,AI investment;Generative AI technology,ai_activity;gen_ai,exact_key,33,0.659421,0.566397,,,
trucap+,trucap+,7,2,robotic process automation;robotics,automation_robotics,exact_key,34,0.656666,0.631850,,,
dev secops,dev_secops,11,2,AI adoption;AI implementation,ai_activity,exact_key,1,0.656453,0.608627,,,
modelserve,modelserve,5,2,AI implementation;AI model,ai_activity;ai_technology,exact_key,12,0.656032,0.636761,,,
conversational interface,conversational_interface,59,2,Generative AI technology;Generative AI tools,gen_ai,exact_key,38,0.654765,0.653855,,,
genai-based,genai-based,9,2,AI implementation;AI solutions,ai_activity,exact_key,41,0.652108,0.622010,,,
low-code no-code,low-code_no-code,374,2,AI solutions;robotic process automation,ai_activity;automation_robotics,exact_key,37,0.651409,0.649314,,,
nvidia-accelerated,nvidia-accelerated,13,2,AI adoption;AI solutions,ai_activity,exact_key,15,0.650886,0.619144,,,
ai-only,ai-only,10,2,AI adoption;generative artificial intelligence,ai_activity;gen_ai,exact_key,17,0.649180,0.617402,,,
robotization,robotization,436,2,robotic process automation;robotics,automation_robotics,exact_key,23,0.646179,0.635613,,,
auto-tagging,auto-tagging,6,2,NLP;image recognition,ai_methods,exact_key,35,0.643734,0.626527,,,
bots et cetera,bots_et_cetera,14,2,NLP;robotic process automation,ai_methods;automation_robotics,exact_key,24,0.639742,0.630801,,,
mchat,mchat,35,2,AI tool;GPT-4,ai_technology;gen_ai,exact_key,35,0.638673,0.633474,,,
ai ml-based,ai_ml-based,38,2,AI tool;NLP,ai_methods;ai_technology,exact_key,44,0.627641,0.612643,,,
dql,dql,10,2,AI tool;GPT-4,ai_technology;gen_ai,exact_key,49,0.626181,0.625520,,,
mynav,mynav,5,2,AI implementation;AI investments,ai_activity,exact_key,21,0.603361,0.575905,,,
cloud computing,cloud_computing,13029,2,AI adoption;AI investment,ai_activity,exact_key,12,0.590160,0.536795,,,
ai-focused,ai-focused,86,2,AI adoption;AI investment,ai_activity,exact_key,8,0.563788,0.534397,,,
data-tech,data-tech,13,2,AI investment;AI investments,ai_activity,exact_key,14,0.549469,0.523781,,,
ai-related,ai-related,550,2,AI investment;AI investments,ai_activity,exact_key,4,0.548212,0.544549,,,
robotic,robotic,9926,1,robotics,automation_robotics,exact_key,1,0.867826,0.867826,,,
mcvp,mcvp,5,1,Artificial intelligence adoption,ai_activity,exact_key,1,0.792605,0.792605,,,
rpa,rpa,4109,1,robotic process automation,automation_robotics,exact_key,1,0.788266,0.788266,,,
robots,robots,10579,1,robotics,automation_robotics,exact_key,2,0.784253,0.784253,,,
c-a-s-e,c-a-s-e,5,1,Artificial intelligence adoption,ai_activity,exact_key,2,0.769927,0.769927,,,
tools,tools,298769,1,AI tools,ai_technology,exact_key,8,0.768249,0.768249,,,
open-technology,open-technology,5,1,Artificial intelligence adoption,ai_activity,exact_key,3,0.767448,0.767448,,,
computing-driven,computing-driven,5,1,Artificial intelligence adoption,ai_activity,exact_key,4,0.766451,0.766451,,,
competitive-edge,competitive-edge,6,1,Artificial intelligence adoption,ai_activity,exact_key,5,0.766446,0.766446,,,
autonomy-related,autonomy-related,5,1,Artificial intelligence adoption,ai_activity,exact_key,6,0.765359,0.765359,,,
robot,robot,11497,1,robotics,automation_robotics,exact_key,3,0.765050,0.765050,,,
xaas,xaas,6,1,Artificial intelligence adoption,ai_activity,exact_key,7,0.763831,0.763831,,,
sensor-agnostic,sensor-agnostic,9,1,Artificial intelligence adoption,ai_activity,exact_key,8,0.761708,0.761708,,,
driving-assist,driving-assist,5,1,Artificial intelligence adoption,ai_activity,exact_key,9,0.761526,0.761526,,,
voicification,voicification,5,1,Artificial intelligence adoption,ai_activity,exact_key,10,0.758706,0.758706,,,
robotaxi-type,robotaxi-type,5,1,Artificial intelligence adoption,ai_activity,exact_key,11,0.757429,0.757429,,,
rpas,rpas,151,1,robotic process automation,automation_robotics,exact_key,2,0.753564,0.753564,,,
future-connected,future-connected,5,1,Artificial intelligence adoption,ai_activity,exact_key,13,0.753388,0.753388,,,
software-integrated,software-integrated,6,1,Artificial intelligence adoption,ai_activity,exact_key,14,0.752453,0.752453,,,
cross-vehicle,cross-vehicle,6,1,Artificial intelligence adoption,ai_activity,exact_key,15,0.751847,0.751847,,,
zonal-based,zonal-based,5,1,Artificial intelligence adoption,ai_activity,exact_key,16,0.751670,0.751670,,,
self-growing,self-growing,6,1,Artificial intelligence adoption,ai_activity,exact_key,17,0.751541,0.751541,,,
eco-platform,eco-platform,7,1,Artificial intelligence adoption,ai_activity,exact_key,18,0.751197,0.751197,,,
sensor fusion,sensor_fusion,951,1,computer vision,ai_methods,exact_key,11,0.748416,0.748416,,,
electronization,electronization,6,1,Artificial intelligence adoption,ai_activity,exact_key,19,0.747237,0.747237,,,
ml-type,ml-type,6,1,Artificial intelligence adoption,ai_activity,exact_key,20,0.745792,0.745792,,,
connectivity-as-a-service,connectivity-as-a-service,5,1,Artificial intelligence adoption,ai_activity,exact_key,21,0.744191,0.744191,,,
auto-qualify,auto-qualify,5,1,Artificial intelligence adoption,ai_activity,exact_key,22,0.742436,0.742436,,,
drivetrain-agnostic,drivetrain-agnostic,5,1,Artificial intelligence adoption,ai_activity,exact_key,23,0.741884,0.741884,,,
hyperscale-like,hyperscale-like,7,1,Artificial intelligence adoption,ai_activity,exact_key,24,0.740288,0.740288,,,
learning-type,learning-type,17,1,supervised learning,ai_methods,exact_key,6,0.739614,0.739614,,,
e02,e02,7,1,Artificial intelligence adoption,ai_activity,exact_key,25,0.738553,0.738553,,,
future-defining,future-defining,11,1,Artificial intelligence adoption,ai_activity,exact_key,26,0.737879,0.737879,,,
autoscript,autoscript,5,1,Artificial intelligence adoption,ai_activity,exact_key,27,0.736717,0.736717,,,
battery-centric,battery-centric,9,1,Artificial intelligence adoption,ai_activity,exact_key,28,0.736501,0.736501,,,
visibilityiq,visibilityiq,5,1,Artificial intelligence adoption,ai_activity,exact_key,30,0.735987,0.735987,,,
society-related,society-related,9,1,Artificial intelligence adoption,ai_activity,exact_key,31,0.735898,0.735898,,,
single-scale,single-scale,5,1,Artificial intelligence adoption,ai_activity,exact_key,32,0.735875,0.735875,,,
compute-hungry,compute-hungry,5,1,Artificial intelligence adoption,ai_activity,exact_key,33,0.735770,0.735770,,,
nonautomobile,nonautomobile,5,1,Artificial intelligence adoption,ai_activity,exact_key,34,0.735155,0.735155,,,
ever-advancing,ever-advancing,8,1,Artificial intelligence adoption,ai_activity,exact_key,35,0.735114,0.735114,,,
penteon,penteon,5,1,Artificial intelligence adoption,ai_activity,exact_key,36,0.734844,0.734844,,,
data-light,data-light,5,1,Artificial intelligence adoption,ai_activity,exact_key,37,0.734810,0.734810,,,
ipodwdm,ipodwdm,6,1,Artificial intelligence adoption,ai_activity,exact_key,38,0.734371,0.734371,,,
coop-petition,coop-petition,5,1,Artificial intelligence adoption,ai_activity,exact_key,40,0.734235,0.734235,,,
mobile-centered,mobile-centered,5,1,Artificial intelligence adoption,ai_activity,exact_key,41,0.734205,0.734205,,,
service-lead,service-lead,6,1,Artificial intelligence adoption,ai_activity,exact_key,42,0.734072,0.734072,,,
nxp-based,nxp-based,5,1,Artificial intelligence adoption,ai_activity,exact_key,43,0.733994,0.733994,,,
predict+,predict+,5,1,Artificial intelligence adoption,ai_activity,exact_key,44,0.733449,0.733449,,,
automations,automations,1263,1,robotic process automation,automation_robotics,exact_key,4,0.733401,0.733401,,,
bev-dedicated,bev-dedicated,5,1,Artificial intelligence adoption,ai_activity,exact_key,45,0.732981,0.732981,,,
asuv,asuv,5,1,Artificial intelligence adoption,ai_activity,exact_key,46,0.732601,0.732601,,,
robotic surgery,robotic_surgery,1232,1,robotics,automation_robotics,exact_key,4,0.730694,0.730694,,,
micro-transit,micro-transit,6,1,Artificial intelligence adoption,ai_activity,exact_key,48,0.730396,0.730396,,,
caresphere,caresphere,6,1,Artificial intelligence adoption,ai_activity,exact_key,49,0.730198,0.730198,,,
connected-car,connected-car,18,1,Artificial intelligence adoption,ai_activity,exact_key,50,0.730029,0.730029,,,
compute-intensive,compute-intensive,223,1,AI applications,ai_technology,exact_key,13,0.728641,0.728641,,,
victor acitores societe generale,victor_acitores_societe_generale,18,1,AI exposure,ai_exposure,exact_key,1,0.726747,0.726747,,,
self-supervised learning,self-supervised_learning,24,1,supervised learning,ai_methods,exact_key,12,0.726090,0.726090,,,
collaborative robots,collaborative_robots,171,1,robotics,automation_robotics,exact_key,6,0.722691,0.722691,,,
fin11,fin11,7,1,AI analyst,ai_applications,exact_key,1,0.720324,0.720324,,,
prescriptive analytics,prescriptive_analytics,224,1,machine learning,core_ai,exact_key,45,0.719050,0.719050,,,
carl-emil johannessen pareto,carl-emil_johannessen_pareto,12,1,AI exposure,ai_exposure,exact_key,2,0.719034,0.719034,,,
inference,inference,5648,1,deep learning,core_ai,exact_key,44,0.718322,0.718322,,,
tf32,tf32,17,1,deep learning,core_ai,exact_key,47,0.717049,0.717049,,,
automate,automate,24374,1,robotic process automation,automation_robotics,exact_key,8,0.716888,0.716888,,,
kukai,kukai,5,1,supervised learning,ai_methods,exact_key,15,0.716576,0.716576,,,
neuromorphic computing,neuromorphic_computing,38,1,deep learning,core_ai,exact_key,48,0.714962,0.714962,,,
gpus,gpus,7326,1,AI applications,ai_technology,exact_key,16,0.713849,0.713849,,,
gustavo gattass btg,gustavo_gattass_btg,13,1,AI exposure,ai_exposure,exact_key,3,0.712503,0.712503,,,
human-annotated,human-annotated,16,1,supervised learning,ai_methods,exact_key,17,0.711695,0.711695,,,
high-performance compute,high-performance_compute,781,1,AI applications,ai_technology,exact_key,18,0.711515,0.711515,,,
data-center-focused,data-center-focused,5,1,AI exposure,ai_exposure,exact_key,4,0.710666,0.710666,,,
autonomics,autonomics,64,1,robotic process automation,automation_robotics,exact_key,9,0.709033,0.709033,,,
alexnet,alexnet,31,1,neural network,core_ai,exact_key,16,0.707917,0.707917,,,
intelligence,intelligence,68769,1,artificial intelligence,core_ai,exact_key,45,0.706547,0.706547,,,
ground-to-cloud,ground-to-cloud,5,1,AI exposure,ai_exposure,exact_key,5,0.705946,0.705946,,,
least-appreciated,least-appreciated,5,1,AI exposure,ai_exposure,exact_key,6,0.704902,0.704902,,,
tamilis,tamilis,5,1,AI exposure,ai_exposure,exact_key,7,0.703951,0.703951,,,
computing,computing,55443,1,AI applications,ai_technology,exact_key,21,0.703708,0.703708,,,
unc2452,unc2452,7,1,AI analyst,ai_applications,exact_key,2,0.703548,0.703548,,,
generative ai's,generative_ai's,18,1,Generative AI models,gen_ai,exact_key,28,0.703245,0.703245,,,
lidar,lidar,8810,1,computer vision,ai_methods,exact_key,25,0.703141,0.703141,,,
capabilities,capabilities,639328,1,AI capabilities,ai_activity,exact_key,34,0.703030,0.703030,,,
mvapich,mvapich,5,1,AI exposure,ai_exposure,exact_key,8,0.702918,0.702918,,,
denoising,denoising,5,1,supervised learning,ai_methods,exact_key,25,0.702670,0.702670,,,
camera,camera,31973,1,computer vision,ai_methods,exact_key,26,0.701500,0.701500,,,
np-complete,np-complete,5,1,AI analyst,ai_applications,exact_key,3,0.701221,0.701221,,,
design-thinking,design-thinking,40,1,AI skills,ai_workforce,exact_key,5,0.700799,0.700799,,,
ai-empowered,ai-empowered,35,1,AI integration,ai_activity,exact_key,1,0.700736,0.700736,,,
kwame webb morningstar,kwame_webb_morningstar,16,1,AI exposure,ai_exposure,exact_key,9,0.699928,0.699928,,,
matt robison wunderlich,matt_robison_wunderlich,75,1,AI exposure,ai_exposure,exact_key,10,0.699437,0.699437,,,
zack fadem wells fargo,zack_fadem_wells_fargo,12,1,AI exposure,ai_exposure,exact_key,11,0.699346,0.699346,,,
cpus,cpus,3529,1,AI applications,ai_technology,exact_key,25,0.699252,0.699252,,,
machine-learning techniques,machine-learning_techniques,19,1,artificial intelligence technologies,core_ai,exact_key,13,0.699229,0.699229,,,
lena thakkar hsbc,lena_thakkar_hsbc,30,1,AI exposure,ai_exposure,exact_key,12,0.698979,0.698979,,,
denoise,denoise,8,1,supervised learning,ai_methods,exact_key,30,0.698811,0.698811,,,
stefan schurmann bank vontobel,stefan_schurmann_bank_vontobel,14,1,AI exposure,ai_exposure,exact_key,13,0.697975,0.697975,,,
cohort-based learning,cohort-based_learning,19,1,AI skills,ai_workforce,exact_key,6,0.697951,0.697951,,,
multi-folded,multi-folded,5,1,AI exposure,ai_exposure,exact_key,14,0.697916,0.697916,,,
camera-based,camera-based,267,1,computer vision,ai_methods,exact_key,28,0.697811,0.697811,,,
automating,automating,10259,1,robotic process automation,automation_robotics,exact_key,12,0.697334,0.697334,,,
k-means,k-means,11,1,supervised learning,ai_methods,exact_key,33,0.697238,0.697238,,,
vitis ai,vitis_ai,18,1,AI skills,ai_workforce,exact_key,7,0.697060,0.697060,,,
appspace,appspace,5,1,AI exposure,ai_exposure,exact_key,16,0.696879,0.696879,,,
omni-path's,omni-path's,5,1,AI exposure,ai_exposure,exact_key,17,0.696755,0.696755,,,
jagadish iyer summit redstone,jagadish_iyer_summit_redstone,12,1,AI exposure,ai_exposure,exact_key,18,0.696676,0.696676,,,
gary nachman goldman sachs,gary_nachman_goldman_sachs,60,1,AI exposure,ai_exposure,exact_key,20,0.695814,0.695814,,,
ehud gelblum citigroup,ehud_gelblum_citigroup,29,1,AI exposure,ai_exposure,exact_key,21,0.695502,0.695502,,,
lensai,lensai,22,1,artificial intelligence technologies,core_ai,exact_key,16,0.695426,0.695426,,,
kennedy d-r,kennedy_d-r,31,1,AI exposure,ai_exposure,exact_key,22,0.695241,0.695241,,,
stephane foucaud gmp firstenergy,stephane_foucaud_gmp_firstenergy,13,1,AI exposure,ai_exposure,exact_key,23,0.694963,0.694963,,,
mario saric scotiabank,mario_saric_scotiabank,73,1,AI exposure,ai_exposure,exact_key,24,0.694690,0.694690,,,
guillermo peigneux ubs,guillermo_peigneux_ubs,96,1,AI exposure,ai_exposure,exact_key,25,0.694370,0.694370,,,
rlaif,rlaif,8,1,supervised learning,ai_methods,exact_key,36,0.694294,0.694294,,,
cvflow architecture,cvflow_architecture,25,1,computer vision,ai_methods,exact_key,33,0.693742,0.693742,,,
mist-ified,mist-ified,7,1,AI exposure,ai_exposure,exact_key,26,0.693543,0.693543,,,
sd-wan-only,sd-wan-only,5,1,AI exposure,ai_exposure,exact_key,27,0.693019,0.693019,,,
emza's,emza's,12,1,computer vision,ai_methods,exact_key,34,0.692655,0.692655,,,
gostomski,gostomski,8,1,AI exposure,ai_exposure,exact_key,28,0.692624,0.692624,,,
zuzanna pusz berenberg,zuzanna_pusz_berenberg,11,1,AI exposure,ai_exposure,exact_key,29,0.692485,0.692485,,,
kobori speaking,kobori_speaking,32,1,AI exposure,ai_exposure,exact_key,30,0.692469,0.692469,,,
akumina,akumina,7,1,AI skills,ai_workforce,exact_key,9,0.692321,0.692321,,,
oculii radar,oculii_radar,16,1,computer vision,ai_methods,exact_key,35,0.692222,0.692222,,,
parikshit kandpal hdfc securities,parikshit_kandpal_hdfc_securities,28,1,AI exposure,ai_exposure,exact_key,31,0.692107,0.692107,,,
simeon gutman credit suisse,simeon_gutman_credit_suisse,54,1,AI exposure,ai_exposure,exact_key,32,0.692039,0.692039,,,
akd1500,akd1500,5,1,AI exposure,ai_exposure,exact_key,33,0.691666,0.691666,,,
customer-agnostic,customer-agnostic,5,1,AI exposure,ai_exposure,exact_key,34,0.691653,0.691653,,,
michael dudas sterne agee,michael_dudas_sterne_agee,78,1,AI exposure,ai_exposure,exact_key,35,0.691408,0.691408,,,
non-hpe,non-hpe,5,1,AI exposure,ai_exposure,exact_key,36,0.691381,0.691381,,,
chipbrain,chipbrain,7,1,AI exposure,ai_exposure,exact_key,37,0.691311,0.691311,,,
yafei tian citi,yafei_tian_citi,13,1,AI exposure,ai_exposure,exact_key,38,0.691103,0.691103,,,
aryeh bourkoff ubs,aryeh_bourkoff_ubs,25,1,AI exposure,ai_exposure,exact_key,39,0.690818,0.690818,,,
gil luria wedbush,gil_luria_wedbush,26,1,AI exposure,ai_exposure,exact_key,40,0.690449,0.690449,,,
computational photography,computational_photography,92,1,computer vision,ai_methods,exact_key,37,0.690295,0.690295,,,
ambarella's cv22,ambarella's_cv22,11,1,computer vision,ai_methods,exact_key,38,0.689867,0.689867,,,
jupyter notebooks,jupyter_notebooks,25,1,AI skills,ai_workforce,exact_key,12,0.689600,0.689600,,,
debrat,debrat,6,1,AI exposure,ai_exposure,exact_key,41,0.689254,0.689254,,,
leone young citigroup,leone_young_citigroup,21,1,AI exposure,ai_exposure,exact_key,42,0.688949,0.688949,,,
programmable smartnic,programmable_smartnic,19,1,AI applications,ai_technology,exact_key,34,0.688865,0.688865,,,
douglas sipkin susquehanna,douglas_sipkin_susquehanna,44,1,AI exposure,ai_exposure,exact_key,43,0.688510,0.688510,,,
robot-based,robot-based,36,1,robotics,automation_robotics,exact_key,7,0.688508,0.688508,,,
sebastien gruter exane,sebastien_gruter_exane,18,1,AI exposure,ai_exposure,exact_key,44,0.688400,0.688400,,,
repetitive tasks,repetitive_tasks,359,1,robotic process automation,automation_robotics,exact_key,16,0.688385,0.688385,,,
pedagogies,pedagogies,16,1,AI skills,ai_workforce,exact_key,13,0.688347,0.688347,,,
aiware's,aiware's,16,1,artificial intelligence technologies,core_ai,exact_key,20,0.687890,0.687890,,,
intelligences,intelligences,35,1,supervised learning,ai_methods,exact_key,40,0.687034,0.687034,,,
neuronets,neuronets,6,1,AI skills,ai_workforce,exact_key,15,0.686932,0.686932,,,
knackstack,knackstack,6,1,AI exposure,ai_exposure,exact_key,45,0.686927,0.686927,,,
lyn walther wachovia,lyn_walther_wachovia,13,1,AI exposure,ai_exposure,exact_key,46,0.686825,0.686825,,,
sebastien gruter societe generale,sebastien_gruter_societe_generale,28,1,AI exposure,ai_exposure,exact_key,47,0.686627,0.686627,,,
aynsley lammin citi,aynsley_lammin_citi,25,1,AI exposure,ai_exposure,exact_key,48,0.686623,0.686623,,,
loan-at-home,loan-at-home,5,1,AI exposure,ai_exposure,exact_key,49,0.686578,0.686578,,,
cvflow soc,cvflow_soc,17,1,computer vision,ai_methods,exact_key,42,0.686462,0.686462,,,
rstudio,rstudio,14,1,supervised learning,ai_methods,exact_key,46,0.686192,0.686192,,,
aireos,aireos,5,1,AI exposure,ai_exposure,exact_key,50,0.686133,0.686133,,,
cv25 soc,cv25_soc,13,1,computer vision,ai_methods,exact_key,43,0.685883,0.685883,,,
mlops,mlops,95,1,AI skills,ai_workforce,exact_key,18,0.684716,0.684716,,,
lidar et cetera,lidar_et_cetera,14,1,computer vision,ai_methods,exact_key,44,0.684496,0.684496,,,
cv22aq,cv22aq,21,1,computer vision,ai_methods,exact_key,45,0.683977,0.683977,,,
radars lidars,radars_lidars,17,1,computer vision,ai_methods,exact_key,46,0.683607,0.683607,,,
sparview,sparview,6,1,AI skills,ai_workforce,exact_key,20,0.682743,0.682743,,,
spearfished,spearfished,7,1,AI analyst,ai_applications,exact_key,4,0.682511,0.682511,,,
ambarella's cvflow,ambarella's_cvflow,15,1,computer vision,ai_methods,exact_key,50,0.681159,0.681159,,,
robotic-assisted surgery,robotic-assisted_surgery,208,1,robotics,automation_robotics,exact_key,8,0.680968,0.680968,,,
roboticists,roboticists,12,1,AI skills,ai_workforce,exact_key,22,0.680414,0.680414,,,
robotics et cetera,robotics_et_cetera,69,1,robotics,automation_robotics,exact_key,9,0.680167,0.680167,,,
alphafold,alphafold,98,1,GPT-3,gen_ai,exact_key,25,0.679882,0.679882,,,
deception-based,deception-based,6,1,AI analyst,ai_applications,exact_key,5,0.678492,0.678492,,,
compute,compute,28991,1,AI applications,ai_technology,exact_key,44,0.678370,0.678370,,,
conspiration,conspiration,5,1,AI analyst,ai_applications,exact_key,6,0.678295,0.678295,,,
applications,applications,491368,1,AI applications,ai_technology,exact_key,45,0.678057,0.678057,,,
mywizard,mywizard,28,1,robotic process automation,automation_robotics,exact_key,21,0.677237,0.677237,,,
multi-assistant,multi-assistant,7,1,AI integration,ai_activity,exact_key,3,0.676544,0.676544,,,
industry-ready,industry-ready,20,1,AI skills,ai_workforce,exact_key,28,0.675975,0.675975,,,
conversational interfaces,conversational_interfaces,53,1,natural language processing,ai_methods,exact_key,50,0.675921,0.675921,,,
gpu-accelerated,gpu-accelerated,72,1,AI applications,ai_technology,exact_key,47,0.675897,0.675897,,,
bst's,bst's,10,1,artificial intelligence technologies,core_ai,exact_key,31,0.675330,0.675330,,,
physics-based simulation,physics-based_simulation,37,1,artificial intelligence technologies,core_ai,exact_key,33,0.675029,0.675029,,,
